date,label
2019-07-25,1.3146
2019-07-26,1.3182
2019-07-27,1.3174333333333337
2019-07-28,1.3166666666666669
2019-07-29,1.3159
2019-07-30,1.3168
2019-07-31,1.3148
2019-08-01,1.3217
2019-08-02,1.3225
2019-08-03,1.3232
2019-08-04,1.3239
2019-08-05,1.3246
2019-08-06,1.3253
2019-08-07,1.3322
2019-08-08,1.3257
2019-08-09,1.3221
2019-08-10,1.3225333333333331
2019-08-11,1.3229666666666666
2019-08-12,1.3234
2019-08-13,1.3236
2019-08-14,1.3311
2019-08-15,1.3325
2019-08-16,1.3286
2019-08-17,1.329
2019-08-18,1.3294
2019-08-19,1.3298
2019-08-20,1.3323
2019-08-21,1.3278
2019-08-22,1.3293
2019-08-23,1.331
2019-08-24,1.3299666666666667
2019-08-25,1.3289333333333333
2019-08-26,1.3279
2019-08-27,1.3267
2019-08-28,1.3301
2019-08-29,1.3296
2019-08-30,1.3295
2019-08-31,1.3307
2019-09-01,1.3319
2019-09-02,1.3331
2019-09-03,1.3343
2019-09-04,1.3263
2019-09-05,1.3228
2019-09-06,1.3174
2019-09-07,1.3167666666666666
2019-09-08,1.3161333333333332
2019-09-09,1.3155
2019-09-10,1.3153
2019-09-11,1.3181
2019-09-12,1.3205
2019-09-13,1.3257
2019-09-14,1.3254
2019-09-15,1.3251
2019-09-16,1.3248
2019-09-17,1.3257
2019-09-18,1.3271
2019-09-19,1.3259
2019-09-20,1.3275
2019-09-21,1.3273333333333333
2019-09-22,1.3271666666666666
2019-09-23,1.327
2019-09-24,1.3249
2019-09-25,1.327
2019-09-26,1.326
2019-09-27,1.3249
2019-09-28,1.3247
2019-09-29,1.3245
2019-09-30,1.3243
2019-10-01,1.3244
2019-10-02,1.3294
2019-10-03,1.333
2019-10-04,1.3317
2019-10-05,1.3313333333333337
2019-10-06,1.3309666666666666
2019-10-07,1.3306
2019-10-08,1.3323
2019-10-09,1.3324
2019-10-10,1.3294
2019-10-11,1.3198
2019-10-12,1.320125
2019-10-13,1.32045
2019-10-14,1.320775
2019-10-15,1.3211
2019-10-16,1.3201
2019-10-17,1.3143
2019-10-18,1.3132
2019-10-19,1.312
2019-10-20,1.3108
2019-10-21,1.3096
2019-10-22,1.3094
2019-10-23,1.3086
2019-10-24,1.3075
2019-10-25,1.3064
2019-10-26,1.3061333333333334
2019-10-27,1.3058666666666667
2019-10-28,1.3056
2019-10-29,1.3075
2019-10-30,1.3152
2019-10-31,1.316
2019-11-01,1.3157
2019-11-02,1.3154
2019-11-03,1.3151
2019-11-04,1.3148
2019-11-05,1.3153
2019-11-06,1.3179
2019-11-07,1.3176
2019-11-08,1.3223
2019-11-09,1.322425
2019-11-10,1.32255
2019-11-11,1.322675
2019-11-12,1.3228
2019-11-13,1.3249
2019-11-14,1.3258
2019-11-15,1.3231
2019-11-16,1.3225333333333331
2019-11-17,1.3219666666666663
2019-11-18,1.3214
2019-11-19,1.3237
2019-11-20,1.3304
2019-11-21,1.3285
2019-11-22,1.3287
2019-11-23,1.3293666666666666
2019-11-24,1.3300333333333334
2019-11-25,1.3307
2019-11-26,1.3288
2019-11-27,1.3278
2019-11-28,1.3285
2019-11-29,1.3289
2019-11-30,1.3291666666666666
2019-12-01,1.3294333333333337
2019-12-02,1.3297
2019-12-03,1.3302
2019-12-04,1.3223
2019-12-05,1.3174
2019-12-06,1.3255
2019-12-07,1.3248333333333333
2019-12-08,1.3241666666666665
2019-12-09,1.3235
2019-12-10,1.3233
2019-12-11,1.3201
2019-12-12,1.3182
2019-12-13,1.3183
2019-12-14,1.3169333333333333
2019-12-15,1.3155666666666668
2019-12-16,1.3142
2019-12-17,1.316
2019-12-18,1.3119
2019-12-19,1.3122
2019-12-20,1.3164
2019-12-21,1.3162666666666667
2019-12-22,1.3161333333333334
2019-12-23,1.316
2019-12-24,1.3157
2019-12-25,1.3130666666666668
2019-12-26,1.3104333333333331
2019-12-27,1.3078
2019-12-28,1.3071666666666668
2019-12-29,1.306533333333333
2019-12-30,1.3059
2019-12-31,1.2988
2020-01-01,1.299
2020-01-02,1.2992
2020-01-03,1.2988
2020-01-04,1.2982
2020-01-05,1.2976
2020-01-06,1.297
2020-01-07,1.3009
2020-01-08,1.3026
2020-01-09,1.3079
2020-01-10,1.3051
2020-01-11,1.305
2020-01-12,1.3049
2020-01-13,1.3048
2020-01-14,1.3062
